City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,atlantis,-33.5667,18.4834,10.16,90,99,0.33,ZA,1722293013
323,urcos,-13.6861,-71.6228,17.94,76,9,3.66,PE,1722293014
324,saldanha,-33.0117,17.9442,9.03,84,33,3.2,ZA,1722293015
325,ajaccio,42.0,8.9167,23.17,93,40,1.54,FR,1722293016
326,new plymouth,-39.0667,174.0833,14.34,100,71,5.55,NZ,1722292909
327,arkhangel'sk,64.5401,40.5433,13.06,100,75,2.0,RU,1722293018
328,leava,-14.3,-178.1667,26.05,59,23,10.83,WF,1722293020
329,tofol,5.3248,163.0078,28.65,71,47,4.13,FM,1722293021
330,evanston,42.0411,-87.6901,27.88,80,100,1.54,US,1722293022
331,carnarvon,-24.8667,113.6333,17.54,80,0,3.32,AU,1722293023
332,palmer,42.1584,-72.3287,21.75,86,75,2.06,US,1722293024
333,nieuw amsterdam,5.8833,-55.0833,29.09,94,40,5.14,SR,1722293025
334,sumqayit,40.5897,49.6686,22.04,57,0,3.96,AZ,1722293026
335,anloga,5.7947,0.8973,24.17,90,78,6.9,GH,1722293028
336,pisco,-13.7,-76.2167,17.03,82,40,2.06,PE,1722293029
337,gaspe,48.8334,-64.4819,31.12,45,20,5.14,CA,1722293030
338,la ronge,55.1001,-105.2842,30.14,28,40,3.09,CA,1722293031
339,gisborne,-38.6533,178.0042,13.25,82,100,0.69,NZ,1722293032
340,kamina,-8.7386,24.9906,18.1,19,6,0.5,CD,1722293033
341,shahrud,36.4182,54.9763,19.25,67,51,5.7,IR,1722293034
342,xiongzhou,25.1167,114.3,24.84,95,1,0.38,CN,1722293036
343,piti village,13.4626,144.6933,30.73,89,40,1.54,GU,1722293037
344,lang son,21.8333,106.7333,22.73,96,100,0.51,VN,1722293038
345,sabang,5.8933,95.3214,28.71,73,100,4.22,ID,1722293039
346,ouled mimoun,34.9047,-1.0339,27.01,20,51,7.54,DZ,1722293040
347,puerto baquerizo moreno,-0.9,-89.6,21.55,78,75,6.17,EC,1722293041
348,yanchep,-31.55,115.6833,14.78,87,26,2.38,AU,1722293042
349,along,28.1667,94.7667,21.02,98,22,0.17,IN,1722293044
350,mamadysh,55.7152,51.408,18.6,81,100,2.44,RU,1722293045
351,vorgashor,67.5833,63.95,16.91,68,98,3.9,RU,1722293046
352,harbin,45.75,126.65,22.97,70,93,1.7,CN,1722293047
353,greenville,35.6127,-77.3663,26.19,83,40,1.54,US,1722292831
354,yiyang,28.5892,112.3283,26.55,91,42,2.31,CN,1722293049
355,keflavik,64.0049,-22.5624,11.95,93,40,2.06,IS,1722293050
356,guanare,9.0418,-69.7421,23.59,93,76,0.9,VE,1722293052
357,tongliao,43.6125,122.2653,27.35,50,49,2.28,CN,1722293053
358,alice springs,-23.7,133.8833,0.75,75,0,2.06,AU,1722293054
359,riosucio,5.4216,-75.7032,20.84,81,60,1.08,CO,1722293055
360,quang ngai,15.1167,108.8,25.85,80,100,1.7,VN,1722293056
361,holualoa,19.6228,-155.9522,26.91,83,40,4.12,US,1722293057
362,gettorf,54.4,9.9833,14.87,88,19,0.51,DE,1722293058
363,callao,-12.0667,-77.15,20.4,84,43,3.38,PE,1722293060
364,pakhtakoron,40.1571,68.7466,24.32,19,0,4.6,TJ,1722293061
365,huarmey,-10.0681,-78.1522,18.09,78,23,3.23,PE,1722293062
